,Ask,Bid,Expiry,Last,Open_Int,Quote_Time,Root,Strike,Symbol,Type,Underlying_Price,Update_Date,Update_Time,Vol,_id,iteration,Alert Level,Fifty Percent,Buy Price,Sell Price,Return Percent,Profit
63,1.18,0.93,2017-09-29,1.14,20.0,2017-09-07T10:10:08.000Z,ABBV,78.5,ABBV170929P00078500,p,79.5,20170907,19:13:36,20.0,ABBV_20170929_20170907_7_p_78.5,7.0,0.03179753406878654,True,1.18,0.01,-0.9915254237288136,111.0
21,0.93,0.82,2017-11-17,1.5,1369.0,2017-09-28T10:10:10.000Z,ABBV,75.0,ABBV171117P00075000,p,89.51,20170928,19:09:01,16.0,ABBV_20171117_20170928_7_p_75.0,7.0,0.05616519174041304,True,0.93,0.03,-0.9677419354838709,84.0
6,1.2,0.9,2017-10-27,1.0,74.0,2017-09-14T10:10:06.000Z,ABC,72.5,ABC171027P00072500,p,80.89,20170914,19:24:11,10.0,ABC_20171027_20170914_7_p_72.5,7.0,-0.04067836812144204,True,1.2,0.05,-0.9583333333333333,108.99999999999999
33,1.2,0.95,2017-11-17,1.34,15.0,2017-10-27T10:10:06.000Z,ABBV,89.5,ABBV171117P00089500,p,92.49,20171027,19:09:17,4.0,ABBV_20171117_20171027_7_p_89.5,7.0,0.0327154979901741,True,1.2,0.09,-0.9249999999999999,104.99999999999999
5,0.95,0.9,2017-11-17,0.64,163.0,2017-10-09T10:10:04.000Z,ABC,70.0,ABC171117P00070000,p,78.01,20171009,19:23:14,2.0,ABC_20171117_20171009_7_p_70.0,7.0,-0.030690854870775334,True,0.95,0.2,-0.7894736842105263,69.0
0,1.2,0.95,2017-11-17,1.15,111.0,2017-09-27T10:10:11.000Z,ABEO,12.5,ABEO171117P00012500,p,14.7,20170927,19:25:30,25.0,ABEO_20171117_20170927_7_p_12.5,7.0,0.03886925795052996,True,1.2,0.05,-0.9583333333333333,108.99999999999999
30,0.89,0.87,2017-11-17,0.82,2336.0,2017-09-28T10:10:10.000Z,ABT,50.0,ABT171117P00050000,p,54.27,20170928,19:39:15,13.0,ABT_20171117_20170928_7_p_50.0,7.0,0.04065196548418034,True,0.89,0.01,-0.9887640449438202,82.0
0,1.0,0.99,2017-04-21,0.99,5744.0,2017-03-02T10:16:03.000Z,ABX,18.0,ABX170421P00018000,p,18.12,20170302,19:42:22,710.0,ABX_20170421_20170302_7_p_18.0,7.0,-0.041776837652035916,True,1.0,0.13,-0.87,81.0
2,0.84,0.83,2017-06-16,0.82,6137.0,2017-04-25T10:16:06.000Z,ABX,17.0,ABX170616P00017000,p,17.13,20170425,20:04:25,2060.0,ABX_20170616_20170425_7_p_17.0,7.0,-0.10031512605042019,True,0.84,1.43,0.7023809523809523,-65.0
6,1.25,0.95,2017-07-21,0.0,16.0,2017-06-09T10:11:19.000Z,ACAD,25.0,ACAD170721P00025000,p,27.0,20170609,20:14:43,0.0,ACAD_20170721_20170609_7_p_25.0,7.0,0.03289977046671765,True,1.25,0.1,-0.9199999999999999,108.99999999999999
